City,State,Lat,Long,commas,CityState,Opened,Mopened
Cleveland,Ohio,41.5051613,-81.6934446,",","Cleveland,Ohio",11/4/05,11/05
Waterville,Maine,44.5520105,-69.6317121,",","Waterville,Maine",11/7/05,11/05
Palmdale,California,34.579434,-118.116461,",","Palmdale,California",11/11/05,11/05
Burbank,California,34.180839,-118.308966,",","Burbank,California",11/15/05,11/05
Tukwila,Washington,47.4627356,-122.2559156,",","Tukwila,Washington",11/18/05,11/05
Staten Island,New York,40.5834557,-74.1496048,",","Staten Island,New York",11/18/05,11/05
Essex,Vermont,44.7065484,-71.7344471,",","Essex,Vermont",11/18/05,11/05
Nashua,New Hampshire,42.7653662,-71.467566,",","Nashua,New Hampshire",11/18/05,11/05
Nashua,New Hampshire,42.7653662,-71.467566,",","Nashua,New Hampshire",11/18/05,11/05
Honolulu,Hawaii,21.304547,-157.8556764,",","Honolulu,Hawaii",11/21/05,11/05
Baltimore,Maryland,39.2908816,-76.610759,",","Baltimore,Maryland",11/22/05,11/05
Lathrop,California,37.822705,-121.27661,",","Lathrop,California",11/23/05,11/05
Indianapolis,Indiana,39.7683331,-86.1583502,",","Indianapolis,Indiana",11/23/05,11/05
Shorthills,New Jersey,40.7192,-74.318609,",","Shorthills,New Jersey",11/23/05,11/05
Saratoga,California,37.263832,-122.023015,",","Saratoga,California",11/25/05,11/05
Osage Beach,Missouri,38.1259916,-92.6723254,",","Osage Beach,Missouri",11/25/05,11/05
Vancouver,Washington,45.6306954,-122.6744557,",","Vancouver,Washington",12/1/05,12/05
Big Bear Lake,California,34.243896,-116.911422,",","Big Bear Lake,California",12/1/05,12/05
Mansfield,Texas,32.5631924,-97.1416768,",","Mansfield,Texas",12/1/05,12/05
Burleson,Texas,30.4764878,-96.6353488,",","Burleson,Texas",12/1/05,12/05
Lexington,Kentucky,38.0464066,-84.4970393,",","Lexington,Kentucky",12/1/05,12/05
Rockaway,New Jersey,40.9012101,-74.5143232,",","Rockaway,New Jersey",12/1/05,12/05
Kent,Washington,47.3826903,-122.2270272,",","Kent,Washington",12/2/05,12/05
Midland,Texas,31.9973662,-102.0779482,",","Midland,Texas",12/2/05,12/05
North Highlands,California,38.685736,-121.372174,",","North Highlands,California",12/4/05,12/05
Anaheim Hills,California,33.850802,-117.749066,",","Anaheim Hills,California",12/9/05,12/05
Phoenix,Arizona,33.448377,-112.074037,",","Phoenix,Arizona",12/9/05,12/05
Delafield,Wisconsin,43.0610275,-88.4040692,",","Delafield,Wisconsin",12/9/05,12/05
Westfield,Massachusetts,42.1390327,-72.7584859,",","Westfield,Massachusetts",12/9/05,12/05
Chicago,Illinois,41.8755616,-87.6244212,",","Chicago,Illinois",12/12/05,12/05
Lone Tree,Colorado,39.5360997,-104.8963682,",","Lone Tree,Colorado",12/16/05,12/05
New York,New York,40.7127281,-74.0060152,",","New York,New York",12/16/05,12/05
New Milford,Connecticut,41.5867418,-73.4117654,",","New Milford,Connecticut",12/16/05,12/05
Westford,Massachusetts,42.5792583,-71.4378411,",","Westford,Massachusetts",12/16/05,12/05
Newton,Massachusetts,42.3370414,-71.2092214,",","Newton,Massachusetts",12/16/05,12/05
Lyons,Illinois,41.811108,-87.8232695,",","Lyons,Illinois",12/17/05,12/05
Cleveland,Tennessee,35.1595182,-84.8766115,",","Cleveland,Tennessee",12/17/05,12/05
Bellevue,Nebraska,41.1366494,-95.8907373,",","Bellevue,Nebraska",12/18/05,12/05
Woburn,Massachusetts,42.4792618,-71.1522766,",","Woburn,Massachusetts",12/18/05,12/05
Lancaster,Pennsylvania,40.03813,-76.3056686,",","Lancaster,Pennsylvania",12/21/05,12/05
Lincoln,Rhode Island,41.9529237,-71.4663863,",","Lincoln,Rhode Island",12/21/05,12/05
Sioux City,Iowa,42.4966815,-96.4058782,",","Sioux City,Iowa",12/22/05,12/05
San Diego,California,32.715738,-117.161084,",","San Diego,California",12/26/05,12/05
Pinellas Park,Florida,27.8428025,-82.6995444,",","Pinellas Park,Florida",12/29/05,12/05
Temecula,California,33.493639,-117.148365,",","Temecula,California",12/30/05,12/05
Dallas,Texas,32.7762719,-96.7968559,",","Dallas,Texas",12/30/05,12/05
Carmel,Indiana,39.9788017,-86.1189257,",","Carmel,Indiana",12/30/05,12/05
Apopka,Florida,28.6779683,-81.5115214,",","Apopka,Florida",12/31/05,12/05
San Francisco,California,37.774929,-122.419416,",","San Francisco,California",1/1/06,1/06
Anaheim Hills,California,33.850802,-117.749066,",","Anaheim Hills,California",1/1/06,1/06
Garland,Texas,32.912624,-96.6388833,",","Garland,Texas",1/1/06,1/06
Covington,Louisiana,30.4754702,-90.1009108,",","Covington,Louisiana",1/1/06,1/06
Oxford,Alabama,33.614271,-85.834965,",","Oxford,Alabama",1/1/06,1/06
Providence,Rhode Island,41.8239891,-71.4128343,",","Providence,Rhode Island",1/5/06,1/06
Salem,Oregon,44.9391565,-123.033121,",","Salem,Oregon",1/6/06,1/06
Warr Acres,Oklahoma,35.5225569,-97.6189353,",","Warr Acres,Oklahoma",1/6/06,1/06
Blue Springs,Missouri,39.017316,-94.282265,",","Blue Springs,Missouri",1/6/06,1/06
St. Paul,Minnesota,44.9504037,-93.1015026,",","St. Paul,Minnesota",1/6/06,1/06
Elgin,Illinois,42.03726,-88.2810994,",","Elgin,Illinois",1/6/06,1/06
Fort Lauderdale,Florida,26.1223084,-80.1433786,",","Fort Lauderdale,Florida",1/6/06,1/06
Aptos,California,36.977173,-121.899402,",","Aptos,California",1/10/06,1/06
Lafayette,California,37.885758,-122.11802,",","Lafayette,California",1/13/06,1/06
Lawton,Oklahoma,34.6086854,-98.3903305,",","Lawton,Oklahoma",1/13/06,1/06
Lakeville,Minnesota,44.650051,-93.2432791,",","Lakeville,Minnesota",1/13/06,1/06
Cedar Rapids,Iowa,41.9758872,-91.6704053,",","Cedar Rapids,Iowa",1/13/06,1/06
Eau Claire,Wisconsin,44.811349,-91.4984941,",","Eau Claire,Wisconsin",1/13/06,1/06
Germantown,Tennessee,35.0867577,-89.8100858,",","Germantown,Tennessee",1/13/06,1/06
Worcester,Massachusetts,42.2761217,-71.8058232,",","Worcester,Massachusetts",1/13/06,1/06
Lakewood,California,33.853627,-118.133956,",","Lakewood,California",1/20/06,1/06
Brenham,Texas,30.1668828,-96.3977442,",","Brenham,Texas",1/20/06,1/06
Sheboygan,Wisconsin,43.7128967,-87.9370433,",","Sheboygan,Wisconsin",1/20/06,1/06
Huntingdon Valley,Pennsylvania,40.1226101,-75.0635049,",","Huntingdon Valley,Pennsylvania",1/21/06,1/06
Kailua,Hawaii,21.394833,-157.7298913,",","Kailua,Hawaii",1/23/06,1/06
Madera,California,36.961336,-120.060718,",","Madera,California",1/25/06,1/06
Stockton,California,37.957702,-121.29078,",","Stockton,California",1/26/06,1/06
Fresno,California,36.737798,-119.787125,",","Fresno,California",1/26/06,1/06
Tustin,California,33.742001,-117.823639,",","Tustin,California",1/27/06,1/06
Las Vegas,Nevada,36.1672559,-115.1485163,",","Las Vegas,Nevada",1/27/06,1/06
York,Nebraska,40.871617,-97.6001401,",","York,Nebraska",1/27/06,1/06
Brownsville,Texas,25.9140256,-97.4890856,",","Brownsville,Texas",1/27/06,1/06
North LIttle Rock,Arkansas,34.769536,-92.267094,",","North LIttle Rock,Arkansas",1/27/06,1/06
Midland,Michigan,43.6155825,-84.2472117,",","Midland,Michigan",1/27/06,1/06
Johnstown,Pennsylvania,40.3267407,-78.9219698,",","Johnstown,Pennsylvania",1/28/06,1/06
Reno,Nevada,39.5261206,-119.8126581,",","Reno,Nevada",1/31/06,1/06
Columbia,Missouri,38.951883,-92.3337366,",","Columbia,Missouri",1/31/06,1/06
Dallas,Oregon,44.9189206,-123.3158695,",","Dallas,Oregon",2/2/06,2/06
San Francisco,California,37.774929,-122.419416,",","San Francisco,California",2/3/06,2/06
Moses Lake,Washington,47.1301417,-119.2780771,",","Moses Lake,Washington",2/3/06,2/06
Plymouth,Minnesota,45.0065149,-93.46651,",","Plymouth,Minnesota",2/3/06,2/06
Roseville,Michigan,42.4972583,-82.9371409,",","Roseville,Michigan",2/3/06,2/06
Charlotte,North Carolina,35.2271986,-80.843083,",","Charlotte,North Carolina",2/3/06,2/06
Edgewater,Maryland,38.9346773,-76.5532021,",","Edgewater,Maryland",2/3/06,2/06
Martel,California,38.366857,-120.796047,",","Martel,California",2/9/06,2/06
Richland,Washington,46.2804298,-119.2752055,",","Richland,Washington",2/9/06,2/06
Novato,California,38.10742,-122.569703,",","Novato,California",2/10/06,2/06
San Diego,California,32.715738,-117.161084,",","San Diego,California",2/10/06,2/06
Owensboro,Kentucky,37.7742152,-87.1133304,",","Owensboro,Kentucky",2/10/06,2/06
Douglasville,Georgia,33.7514966,-84.7477136,",","Douglasville,Georgia",2/11/06,2/06
Alpharetta,Georgia,34.0709576,-84.2747329,",","Alpharetta,Georgia",2/12/06,2/06
Greensboro,North Carolina,36.0726355,-79.7919754,",","Greensboro,North Carolina",2/15/06,2/06
San Jose,California,37.338208,-121.886329,",","San Jose,California",2/17/06,2/06
Moreno Valley,California,33.942466,-117.229672,",","Moreno Valley,California",2/17/06,2/06
Idaho Springs,Colorado,39.7171685,-105.5732798,",","Idaho Springs,Colorado",2/17/06,2/06
Schertz,Texas,29.5641617,-98.2695702,",","Schertz,Texas",2/17/06,2/06
Stephenville,Texas,32.2191836,-98.2130634,",","Stephenville,Texas",2/17/06,2/06
Indianapolis,Indiana,39.7683331,-86.1583502,",","Indianapolis,Indiana",2/17/06,2/06
Mount Laurel,New Jersey,39.934002,-74.8909988,",","Mount Laurel,New Jersey",2/17/06,2/06
Huntington Beach,California,33.659484,-117.998803,",","Huntington Beach,California",2/20/06,2/06
Hemet,California,33.74752,-116.971968,",","Hemet,California",2/22/06,2/06
Las Vegas,Nevada,36.1672559,-115.1485163,",","Las Vegas,Nevada",2/22/06,2/06
San Jose,California,37.338208,-121.886329,",","San Jose,California",2/23/06,2/06
Moreno Valley,California,33.942466,-117.229672,",","Moreno Valley,California",2/24/06,2/06
Taylorsville,Utah,40.6677096,-111.9385867,",","Taylorsville,Utah",2/24/06,2/06
Richmond,Virginia,37.5385087,-77.43428,",","Richmond,Virginia",2/24/06,2/06
Gaffney,South Carolina,35.0717945,-81.6498195,",","Gaffney,South Carolina",2/25/06,2/06
Aberdeen,Washington,46.975371,-123.815722,",","Aberdeen,Washington",2/27/06,2/06
San Jose,California,37.338208,-121.886329,",","San Jose,California",3/3/06,3/06
Yuba City,California,39.1404477,-121.6169108,",","Yuba City,California",3/3/06,3/06
North Las Vegas,Nevada,36.2005843,-115.1215844,",","North Las Vegas,Nevada",3/3/06,3/06
Denver,Colorado,39.7392364,-104.9848623,",","Denver,Colorado",3/3/06,3/06
Edmond,Oklahoma,35.6571367,-97.4649038,",","Edmond,Oklahoma",3/3/06,3/06
Rockford,Illinois,42.2713945,-89.093966,",","Rockford,Illinois",3/3/06,3/06
Belle Vernon,Pennsylvania,40.1250725,-79.8664356,",","Belle Vernon,Pennsylvania",3/3/06,3/06
Columbus,Indiana,39.201401,-85.921028,",","Columbus,Indiana",3/3/06,3/06
Chicago,Illinois,41.8755616,-87.6244212,",","Chicago,Illinois",3/6/06,3/06
